Study,Characteristic,Category,Overall,Exposed,Unexposed,SMD,P_value
Study 2 (Sibling-Matched),,Male,"208,835 (55.1%)","130,118 (58.6%)","78,717 (50.3%)",,
Study 2 (Sibling-Matched),"Age at index (years, AGE_AT_INDEX)",Median [IQR],"13.0 [7.0, 16.0]","14.0 [8.0, 17.0]","11.0 [6.0, 15.0]",0.336,<0.001
Study 2 (Sibling-Matched),Age at study start (2016-01-01) (years),Median [IQR],"9.0 [4.0, 13.0]","11.0 [5.0, 14.0]","8.0 [3.0, 12.0]",0.312,<0.001
Study 2 (Sibling-Matched),"Age at first CT (years, exposed only)",Median [IQR],"14.0 [8.0, 17.0]","14.0 [8.0, 17.0]",—,—,—
Study 2 (Sibling-Matched),Age at first CT group (exposed only),0-5,"37,995 (17.1%)","37,995 (17.1%)",0 (0.0%),1.526,<0.001
Study 2 (Sibling-Matched),,11-15,"65,113 (29.3%)","65,113 (29.3%)",0 (0.0%),,
Study 2 (Sibling-Matched),,16-18,"81,279 (36.6%)","81,279 (36.6%)",0 (0.0%),,
Study 2 (Sibling-Matched),,6-10,"37,708 (17.0%)","37,708 (17.0%)",0 (0.0%),,
Study 2 (Sibling-Matched),"Age at malignancy diagnosis (years, events only)",Median [IQR],"19.0 [15.0, 21.0]","20.0 [16.0, 22.0]","16.0 [11.0, 20.0]",0.568,<0.001
Study 2 (Sibling-Matched),Age at malignancy diagnosis group (events only),0-5,15 (4.6%),10 (3.9%),5 (7.0%),0.633,<0.001
Study 2 (Sibling-Matched),,11-15,56 (17.1%),36 (14.1%),20 (28.2%),,
Study 2 (Sibling-Matched),,16-20,115 (35.2%),93 (36.3%),22 (31.0%),,
Study 2 (Sibling-Matched),,21+,119 (36.4%),104 (40.6%),15 (21.1%),,
Study 2 (Sibling-Matched),,6-10,22 (6.7%),13 (5.1%),9 (12.7%),,
Study 2 (Sibling-Matched),Income quartile,Missing,"71,173 (18.8%)","41,437 (18.7%)","29,736 (19.0%)",0.058,<0.001
Study 2 (Sibling-Matched),,Q1,"152,991 (40.4%)","91,483 (41.2%)","61,508 (39.3%)",,
Study 2 (Sibling-Matched),,Q2,"18,742 (4.9%)","11,314 (5.1%)","7,428 (4.7%)",,
Study 2 (Sibling-Matched),,Q3,"70,744 (18.7%)","40,970 (18.4%)","29,774 (19.0%)",,
Study 2 (Sibling-Matched),,Q4,"65,032 (17.2%)","36,891 (16.6%)","28,141 (18.0%)",,
Study 2 (Sibling-Matched),Urban status,Metro,"95,436 (25.2%)","55,763 (25.1%)","39,673 (25.3%)",0.015,0.001
Study 2 (Sibling-Matched),,Missing,"72,800 (19.2%)","42,380 (19.1%)","30,420 (19.4%)",,
Study 2 (Sibling-Matched),,Non-Metro,"210,446 (55.6%)","123,952 (55.8%)","86,494 (55.2%)",,
Study 2 (Sibling-Matched),CT setting at first scan (exposed only),Clinic,"57,178 (25.7%)","57,178 (25.7%)",0 (0.0%),,
Study 2 (Sibling-Matched),,ER,"164,917 (74.3%)","164,917 (74.3%)",0 (0.0%),,
Study 2 (Sibling-Matched),First CT type (exposed only),body_type,"222,095 (100.0%)","222,095 (100.0%)",0 (0.0%),,
Study 2 (Sibling-Matched),Number of CT scans (exposed only),>=4,"5,313 (2.4%)","5,313 (2.4%)",0 (0.0%),,
Study 2 (Sibling-Matched),,1,"174,907 (78.8%)","174,907 (78.8%)",0 (0.0%),,
Study 2 (Sibling-Matched),,2-3,"41,875 (18.9%)","41,875 (18.9%)",0 (0.0%),,
Study 2 (Sibling-Matched),Malignancy events,,327 (0.09%),256 (0.12%),71 (0.05%),,
